"Provider ID","Provider Name","Provider Type","Provider Primary Inspection Category","Provider Street Address","Provider Address Line 2","Provider City","Provider Post Code","Provider Local Authority","Provider Region","Service / Population Group","Key Question","Latest Rating","Publication Date","Report Type","URL","Brand ID","Brand Name"
"1-102643346","Partnerships in Care Limited","Independent Healthcare Org","Mental health - community & hospital - independent","5th Floor","80 Hammersmith Road","London","W14 8UD","Hammersmith and Fulham","London","Wards for people with learning disabilities or autism","Safe","Good",2017-07-28,"CoreService","http://www.cqc.org.uk/provider/1-102643346","BD144","BRAND Acadia"
"1-102643346","Partnerships in Care Limited","Independent Healthcare Org","Mental health - community & hospital - independent","5th Floor","80 Hammersmith Road","London","W14 8UD","Hammersmith and Fulham","London","Wards for people with learning disabilities or autism","Effective","Requires improvement",2017-07-28,"CoreService","http://www.cqc.org.uk/provider/1-102643346","BD144","BRAND Acadia"
"1-102643346","Partnerships in Care Limited","Independent Healthcare Org","Mental health - community & hospital - independent","5th Floor","80 Hammersmith Road","London","W14 8UD","Hammersmith and Fulham","London","Wards for people with learning disabilities or autism","Caring","Good",2017-07-28,"CoreService","http://www.cqc.org.uk/provider/1-102643346","BD144","BRAND Acadia"
"1-102643346","Partnerships in Care Limited","Independent Healthcare Org","Mental health - community & hospital - independent","5th Floor","80 Hammersmith Road","London","W14 8UD","Hammersmith and Fulham","London","Wards for people with learning disabilities or autism","Responsive","Good",2017-07-28,"CoreService","http://www.cqc.org.uk/provider/1-102643346","BD144","BRAND Acadia"
"1-102643346","Partnerships in Care Limited","Independent Healthcare Org","Mental health - community & hospital - independent","5th Floor","80 Hammersmith Road","London","W14 8UD","Hammersmith and Fulham","London","Wards for people with learning disabilities or autism","Well-led","Requires improvement",2017-07-28,"CoreService","http://www.cqc.org.uk/provider/1-102643346","BD144","BRAND Acadia"
"1-102643346","Partnerships in Care Limited","Independent Healthcare Org","Mental health - community & hospital - independent","5th Floor","80 Hammersmith Road","London","W14 8UD","Hammersmith and Fulham","London","Wards for people with learning disabilities or autism","Overall","Requires improvement",2017-07-28,"CoreService","http://www.cqc.org.uk/provider/1-102643346","BD144","BRAND Acadia"
"1-102643363","St Andrew's Healthcare","Independent Healthcare Org","Mental health - community & hospital - independent","Billing Road",,"Northampton","NN1 5DG","Northamptonshire","East Midlands","Overall","Safe","Requires improvement",2015-02-10,"Provider","http://www.cqc.org.uk/provider/1-102643363","BD179","BRAND St Andrew's Healthcare"
"1-102643363","St Andrew's Healthcare","Independent Healthcare Org","Mental health - community & hospital - independent","Billing Road",,"Northampton","NN1 5DG","Northamptonshire","East Midlands","Overall","Effective","Good",2015-02-10,"Provider","http://www.cqc.org.uk/provider/1-102643363","BD179","BRAND St Andrew's Healthcare"
"1-102643363","St Andrew's Healthcare","Independent Healthcare Org","Mental health - community & hospital - independent","Billing Road",,"Northampton","NN1 5DG","Northamptonshire","East Midlands","Overall","Caring","Good",2015-02-10,"Provider","http://www.cqc.org.uk/provider/1-102643363","BD179","BRAND St Andrew's Healthcare"
"1-102643363","St Andrew's Healthcare","Independent Healthcare Org","Mental health - community & hospital - independent","Billing Road",,"Northampton","NN1 5DG","Northamptonshire","East Midlands","Overall","Responsive","Good",2015-02-10,"Provider","http://www.cqc.org.uk/provider/1-102643363","BD179","BRAND St Andrew's Healthcare"
"1-102643363","St Andrew's Healthcare","Independent Healthcare Org","Mental health - community & hospital - independent","Billing Road",,"Northampton","NN1 5DG","Northamptonshire","East Midlands","Overall","Well-led","Requires improvement",2015-02-10,"Provider","http://www.cqc.org.uk/provider/1-102643363","BD179","BRAND St Andrew's Healthcare"
"1-102643363","St Andrew's Healthcare","Independent Healthcare Org","Mental health - community & hospital - independent","Billing Road",,"Northampton","NN1 5DG","Northamptonshire","East Midlands","Overall","Overall","Requires improvement",2015-02-10,"Provider","http://www.cqc.org.uk/provider/1-102643363","BD179","BRAND St Andrew's Healthcare"
